Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
JKAX12.1d_post,2022-10-29 18:29:05,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX12.1d_PorgesteroneKO_post_pup_bottom_right 29_01_2022 20_07_08 4.mp4,969.770,29.95,No focal subject,pup groom,,,STATE,72.151,87.971,15.820,,
JKAX6.2g_post,2022-10-30 23:27:19,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2g_KOprogesterone_post_pup_bottom_left 20_12_2021 18_11_53 3.mp4,960.560,29.97,No focal subject,pup groom,,,STATE,72.152,81.151,8.999,,
JKAX7.3b_post,2022-10-30 23:28:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX7.3b_PorgesteroneKO_post_pup_top_right 29_01_2022 20_35_26 2.mp4,960.223,29.99,No focal subject,pup groom,,,STATE,72.718,77.478,4.760,,
JKAX12.1e_post,2022-10-30 23:25:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX12.1e_PorgesteroneKO_post_pup_bottom_right 29_01_2022 19_37_49 4.mp4,960.450,29.94,No focal subject,pup sniff,,,STATE,73.753,74.753,1.000,,
JKAX12.1e_post,2022-10-30 23:25:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX12.1e_PorgesteroneKO_post_pup_bottom_right 29_01_2022 19_37_49 4.mp4,960.450,29.94,No focal subject,pup groom,,,STATE,74.753,85.252,10.499,,
JKAX4.3e_post,2022-10-30 23:26:12,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX4.3e_PorgesteroneKO_post_pup_top_left 29_01_2022 19_37_49 1.mp4,960.780,29.95,No focal subject,pup groom,,,STATE,77.456,89.957,12.501,,
JKAX6.2h_post,2022-10-30 23:23:22,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2h_KOprogesterone_post_pup_bottom_right 20_12_2021 18_11_53 4.mp4,960.445,29.99,No focal subject,pup sniff,,,STATE,79.902,85.428,5.526,,
JKAX6.2f_post,2022-10-29 19:29:40,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2f_KOprogesterone_post_pup_top_right 20_12_2021 18_11_53 2.mp4,960.425,29.99,No focal subject,pup sniff,,,STATE,80.470,90.231,9.761,,
JKAX7.3b_post,2022-10-30 23:28:03,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX7.3b_PorgesteroneKO_post_pup_top_right 29_01_2022 20_35_26 2.mp4,960.223,29.99,No focal subject,pup groom,,,STATE,80.476,83.978,3.502,,
JKAX6.2g_post,2022-10-30 23:27:19,,Z:/home/shared/people/Mingran/NPS_manipulation/hormone_receptor_knockout/MPOA/Progesterone/Post/Pup/JKAX6.2g_KOprogesterone_post_pup_bottom_left 20_12_2021 18_11_53 3.mp4,960.560,29.97,No focal subject,pup groom,,,STATE,83.651,85.901,2.250,,
