Event,I_Injected(pA),Event start ,Event end ,Ramp_start,Ramp_end,filename,state
8.0,95.0,1857.09997558593,1868.19995117187,1080.0,2080.0,S1C4 03062025.xlsx,Pre
9.0,105.0,1259.09997558593,1263.5,1080.0,2080.0,S1C4 03062025.xlsx,Pre
9.0,105.0,1325.0,1329.80004882812,1080.0,2080.0,S1C4 03062025.xlsx,Pre
9.0,105.0,1385.0,1390.30004882812,1080.0,2080.0,S1C4 03062025.xlsx,Pre
9.0,105.0,1438.19995117187,1444.09997558593,1080.0,2080.0,S1C4 03062025.xlsx,Pre
9.0,105.0,1488.5,1494.90002441406,1080.0,2080.0,S1C4 03062025.xlsx,Pre
9.0,105.0,1540.80004882812,1548.0,1080.0,2080.0,S1C4 03062025.xlsx,Pre
9.0,105.0,1596.69995117187,1604.90002441406,1080.0,2080.0,S1C4 03062025.xlsx,Pre
9.0,105.0,1648.0,1656.40002441406,1080.0,2080.0,S1C4 03062025.xlsx,Pre
9.0,105.0,1699.09997558593,1708.30004882812,1080.0,2080.0,S1C4 03062025.xlsx,Pre
9.0,105.0,1754.0,1763.40002441406,1080.0,2080.0,S1C4 03062025.xlsx,Pre
9.0,105.0,1799.69995117187,1811.09997558593,1080.0,2080.0,S1C4 03062025.xlsx,Pre
10.0,115.0,1247.59997558593,1252.0,1080.0,2080.0,S1C4 03062025.xlsx,Pre
10.0,115.0,1308.59997558593,1313.40002441406,1080.0,2080.0,S1C4 03062025.xlsx,Pre
10.0,115.0,1358.19995117187,1363.5,1080.0,2080.0,S1C4 03062025.xlsx,Pre
10.0,115.0,1403.0,1408.90002441406,1080.0,2080.0,S1C4 03062025.xlsx,Pre
10.0,115.0,1448.80004882812,1455.30004882812,1080.0,2080.0,S1C4 03062025.xlsx,Pre
10.0,115.0,1498.09997558593,1505.5,1080.0,2080.0,S1C4 03062025.xlsx,Pre
10.0,115.0,1554.0,1561.59997558593,1080.0,2080.0,S1C4 03062025.xlsx,Pre
