Observation id	Observation date	Description	Observation type	Source	Total duration	Media duration (s)	FPS (frame/s)	Subject	Observation duration by subject by observation	Behavior	Behavioral category	Behavior type	Start (s)	Stop (s)	Duration (s)	Media file name	Image index start	Image index stop	Image file path start	Image file path stop	Comment start	Comment stop
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	chemoinvestigation	investigation	STATE	98.900	100.050	1.150	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	1978	2001				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	rearing	stress behaviour	STATE	101.000	103.900	2.900	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	2020	2078				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	chemoinvestigation	investigation	STATE	104.150	104.600	0.450	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	2083	2092				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	rearing	stress behaviour	STATE	105.250	107.750	2.500	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	2105	2155				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	in empty nest	Not defined	STATE	112.000	117.250	5.250	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	2240	2345				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	rearing	stress behaviour	STATE	113.150	114.300	1.150	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	2263	2286				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	rearing	stress behaviour	STATE	117.300	118.600	1.300	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	2346	2372				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	licking and grooming	investigation	STATE	119.200	124.800	5.600	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	2384	2496				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	rearing	stress behaviour	STATE	125.100	126.250	1.150	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	2502	2525				
BRAC9442.3i_ZD	2025-02-19 15:29:07		Media file	player #1:Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	926.550	934.350	20.000	No focal subject	903.996	licking and grooming	investigation	STATE	126.400	127.100	0.700	Z:/home/shared/people/Mingran/NPS_manipulation/cannulation/pups/ZD/BRAC9442.3i_ZDcannula_infusion_pups_top_left2024-06-14T16_51_10.avi	2528	2542				
