,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Nucleus/Cell area ratio
499,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1463.5,4191.2,91.75,36.1873,0.8804,11.9401,10.5934,0.3834,64.5865,23897.0,31.8752,213.0,31.0,182.0,23.1865,8579.0,2.039,28.0,19.0,9.0,209.25,52.1199,0.968,16.9904,15.5,0.3036,59.5036,37.73,254.0,29.0,20.247,3.1654,28.0,15.0,55.5191,41.3479,254.0,29.0,17.9428,1.5891,23.0,15.0,0.4397
500,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1371.2,4189.0,26.5,21.189,0.7417,7.9105,4.8061,0.7716,42.3304,4741.0,2.6893,48.0,37.0,11.0,22.3214,2500.0,1.2536,26.0,20.0,6.0,80.75,34.9049,0.8329,13.4014,8.274,0.7501,40.9785,3.1734,48.0,35.0,20.1779,2.4266,26.0,15.0,40.271,3.1832,47.0,35.0,19.0561,2.1178,26.0,15.0,0.3339
501,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1298.4,4192.4,54.5,30.015,0.7602,11.0872,7.6298,0.7013,73.3543,16358.0,24.3378,143.0,34.0,109.0,17.7937,3968.0,1.3297,22.0,15.0,7.0,167.25,48.2449,0.903,16.9814,13.7041,0.5503,48.4441,23.5314,143.0,25.0,15.6319,1.8776,22.0,11.0,36.0446,8.4933,79.0,25.0,14.5558,0.9561,17.0,11.0,0.3317
502,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1349.6,4190.0,36.0,23.2276,0.8385,8.9961,5.2739,0.81,81.7483,12017.0,37.3416,178.0,42.0,136.0,23.1088,3397.0,1.5489,27.0,20.0,7.0,106.25,38.5783,0.8971,12.8327,10.7152,0.4366,79.1831,37.5966,178.0,35.0,19.8427,2.8633,27.0,15.0,77.8315,37.7268,173.0,35.0,18.1219,1.6314,25.0,15.0,0.3354
503,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1150.8,4190.4,52.25,32.8839,0.6072,14.0695,4.9829,0.9373,77.1674,16591.0,26.0228,157.0,34.0,123.0,18.8698,4057.0,2.4152,25.0,14.0,11.0,164.0,50.2329,0.8167,19.5455,10.5,0.836,49.8858,25.4612,157.0,25.0,15.1218,3.1347,25.0,11.0,36.6154,9.8158,95.0,25.0,13.2986,1.2676,17.0,11.0,0.3225
504,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1363.4,4196.8,133.75,53.0498,0.5972,19.3981,11.0611,0.8472,66.5183,36319.0,19.6929,173.0,42.0,131.0,28.1868,15390.0,2.8378,36.0,22.0,14.0,251.5,62.9081,0.7986,23.806,14.081,0.8082,57.8222,19.2162,173.0,29.0,24.4856,4.972,36.0,14.0,47.5228,12.3296,117.0,29.0,20.102,3.0008,27.0,14.0,0.5386
505,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1134.3,4194.2,74.25,33.9275,0.8106,12.3537,8.6467,0.7046,102.1096,30735.0,46.2049,255.0,32.0,223.0,23.3621,7032.0,4.0896,36.0,16.0,20.0,188.0,49.2946,0.9722,16.7207,14.0,0.5207,72.4589,50.9534,255.0,26.0,17.9682,5.3232,36.0,10.0,52.7572,43.9742,255.0,26.0,14.3841,1.9638,22.0,10.0,0.3968
506,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1337.8,4194.5,33.5,22.2527,0.8501,7.5282,5.8439,0.652,51.3478,7086.0,18.9978,126.0,34.0,92.0,20.5725,2839.0,0.9882,23.0,18.0,5.0,119.75,39.9139,0.9446,13.6532,11.3943,0.5161,51.1854,28.3453,170.0,29.0,19.2271,1.664,23.0,14.0,51.1199,31.3622,170.0,29.0,18.6842,1.5713,23.0,14.0,0.2762
507,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1197.9,4196.2,40.25,25.859,0.7564,9.6859,6.0997,0.8227,101.7791,16590.0,33.2725,253.0,41.0,212.0,23.4172,3817.0,2.603,29.0,18.0,11.0,138.75,43.6976,0.9131,15.5089,12.1835,0.6373,74.4541,40.1141,255.0,30.0,16.9748,4.7378,29.0,10.0,63.0918,37.1562,255.0,30.0,14.2959,2.1214,21.0,10.0,0.2902
508,JKAH27.2h_MPOA_2_Scan1.qptiff - resolution #1_Region 2.ome.tif,PathCellObject,,Medial preoptic area,Polygon,1619.0,4198.2,139.5,47.9642,0.762,16.6961,12.0543,0.6658,40.4622,22497.0,12.0427,89.0,30.0,59.0,25.1583,13988.0,2.1105,31.0,20.0,11.0,292.75,64.6315,0.8807,22.9079,16.9556,0.6658,39.2762,10.6633,89.0,29.0,22.5234,3.1567,31.0,15.0,38.2075,9.1246,84.0,29.0,20.1491,1.7415,25.0,15.0,0.476
