experiment_day,sex,Gal_positive,state,estrous_stage,ID_mouse,Genotype,Behaviour_6hFD,Cm(pF),Adaptive,I_zero,I_zero_reclassified,60mV,Firing_freq_(Hz)_I0,Instant_freq_(Hz)_1/ISI,isi_(ms),cat_categ,CaT,Ih,Ih_at_-120mV,AP_ampl,AP_halfwidth,AP_time_to_peak,area(mV_ms),rheobase_at_-60mV_(pA),AHP_(mV),Vm,Input_Resistance,sPSC_frequency,sPSC_Amplitude(pA),sPSCs_Rise time,sPSCs (decay),AC-I0,AC_-60,Comments,estrous_confirmation
S1C1 20042023,F,no,Virgin-Gal -,M,JKAM58.1b,Gal-cre KI87; Rosa26 Tomato (Ai9),No_FD,25.92081534,yes,tonic,tonic,silent,0.7,1.1,1341,no,0,yes,3.5,92.7,4.4,2.7,387,8,-47.4,-33.27087891,1061.132727,3.00257732,15.455,1.2,7.6693,,,,
S1C2 20042023,F,no,Virgin-Gal -,M,JKAM58.1b,Gal-cre KI87; Rosa26 Tomato (Ai9),No_FD,30.5102686,no,tonic,tonic,phasic,7.6,7.7,132,no,0,yes,2.1,89,3.6,1.2,280,5,-53.5,-46.38104116,895.9321627,4.625,18.74,1.3,7.7,,,,
S1C3 20042023,F,no,Virgin-Gal -,M,JKAM58.1b,Gal-cre KI87; Rosa26 Tomato (Ai9),No_FD,21.55278918,yes,tonic,tonic,silent,2,2.3,504,no,0,no,0,81,5.1,1.5,373,3,-48.7,-41.89179393,1069.143153,0.482200647,14.188,1,5.9,,,,
S1C4 20042023,F,no,Virgin-Gal -,M,JKAM58.1b,Gal-cre KI87; Rosa26 Tomato (Ai9),No_FD,47.21589103,yes,silent,silent,silent,0,0,0,no,0,no,0,0,0,0,0,24,0,-46.37087987,794.1960034,1.821325648,11.361,1.1,9.2,,,,
S1C5 20042023,F,no,Virgin-Gal -,M,JKAM58.1b,Gal-cre KI87; Rosa26 Tomato (Ai9),No_FD,19.53855571,yes,tonic,tonic,silent,2.5,4.4,372,no,0,no,0,88,4.4,2.5,302,9,-55.7,-44.12036413,860.3498958,1.507880911,12.7,1.5,13.2,,,,
s1c1 26052023,F,Unknown,pan-MPOA-virgin,P,BRAC7921.4e,WT,No_FD,,,tonic,tonic,silent,2.6,1.5,670,,,,,54.13,5.7,2.95,284,,-46.7,-43.27761471,,,,,,,,,
s1c2 26052023,F,Unknown,pan-MPOA-virgin,P,BRAC7921.4e,WT,No_FD,,,silent,silent,silent,0,0,0,,,,,0,0,0,0,,0,-64.94938052,222.3402013,2.585454545,10.3,0.8,15.7,,,,
S1C1 25052023,F,Unknown,pan-MPOA-virgin,M,BRAC7560.6f,WT,No_FD,,no,silent,silent,silent,0,0,0,no,0,no,0,0,0,0,0,24,0,-56.34871463,748.0319742,3.07079646,10.7,0.6,8.3,,,,
S2C1 25052023,F,Unknown,pan-MPOA-virgin,M,BRAC7560.6f,WT,No_FD,,no,silent,silent,silent,0,0,0,no,0,no,0,0,0,0,0,30,0,-53.11796679,677.656372,,,,,,,,
S3C1 25052023,F,Unknown,pan-MPOA-virgin,P,BRAC7560.6f,WT,No_FD,,,silent,silent,silent,0,0,0,yes,6.5,yes,16.9,0,0,0,0,,0,-51.95874652,,,,,,,,,
S1C1 17062023,F,Unknown,pan-MPOA-virgin,M,BRAC,WT,No_FD,,,tonic,tonic,silent,0.3,0.8,3710,,,,,75.2,3.1,2.6,254,,-48.8,-39.76537198,,1.608,8.3,1.4,14.1,,,,
S1C2 17062023,F,Unknown,pan-MPOA-virgin,M,BRAC,WT,No_FD,,yes,silent,silent,silent,0,0,0,no,0,no,0,0,0,0,0,20,0,-51.9729713,745.4814607,0.485714286,9,1.1,8.9,,,,
S1C3 17062023,F,Unknown,pan-MPOA-virgin,M,BRAC,WT,No_FD,,no,phasic,phasic,silent,0.8,1.5,1285,yes,11.35,yes,13.8,68.7,4.1,2.7,281,40,-45.7,-38.69851541,426.3352174,0.06640625,11.6,0.3,13,,,,
S1C1 25062023,F,Unknown,pan-MPOA-virgin,D,BRAC,WT,No_FD,,,phasic,phasic,,0.43,1.2,2304,,,,,,,,,,,-37.88815018,,,,,,,,,confirmed
S1C2 25062023,F,Unknown,pan-MPOA-virgin,D,BRAC,WT,No_FD,,,silent,silent,,0,0,0,,,,,,,,,,,-48.18650383,,,,,,,,,confirmed
S1C3 25062023,F,Unknown,pan-MPOA-virgin,D,BRAC,WT,No_FD,,,tonic,tonic,,0.48,0.79,,,,,,0,0,0,0,,0,-36.5532648,,,,,,,,,confirmed
S1C4 25062023,F,Unknown,pan-MPOA-virgin,D,BRAC,WT,No_FD,,,tonic,tonic,,0.07,0.08,13755,,,,,,,,,,,-50.42715421,,,,,,,,,confirmed
S1C5 25062023,F,Unknown,pan-MPOA-virgin,D,BRAC,WT,No_FD,,,tonic,tonic,,2.78,3.15,360,no,0,yes,9.12,,,,,,,-39.87578837,672.3013199,,,,,,,,confirmed
S1C6 25062023,F,Unknown,pan-MPOA-virgin,D,BRAC,WT,No_FD,,,tonic,tonic,,1.3,1.6,766,,,,,,,,,,,-42.33070152,,,,,,,,,confirmed
S2C1 25062023,F,Unknown,pan-MPOA-virgin,D,BRAC,WT,No_FD,,,tonic,tonic,,4.8,5.5,208,yes,18.49,yes,9.92,,,,,,,-37.0447163,737.809561,,,,,,,,confirmed
S2C2 25062023,F,Unknown,pan-MPOA-virgin,D,BRAC,WT,No_FD,,,tonic,tonic,,15.1,15.4,66,no,0,yes,5.1,,,,,,,-41.1490031,685.6159776,,,,,,,,confirmed
S1C1 24062023,F,Unknown,pan-MPOA-virgin,no VS,BRAC,WT,No_FD,,,tonic,tonic,,5.76,6.6,173,,,,,,,,,,,-47.49459358,,,,,,,,,confirmed
S1C2 24062023,F,Unknown,pan-MPOA-virgin,no VS,BRAC,WT,No_FD,,,tonic,tonic,,6.4,6.8,156,,,,,,,,,,,-39.36870913,,,,,,,,,confirmed
S1C3 24062023,F,Unknown,pan-MPOA-virgin,no VS,BRAC,WT,No_FD,,,phasic,phasic,,1,1.26,1005,,,,,,,,,,,-45.08997477,,,,,,,,,confirmed
S1C4 24062023,F,Unknown,pan-MPOA-virgin,no VS,BRAC,WT,No_FD,,,tonic,tonic,,1.6,2.7,610,,,,,,,,,,,-53.0358199,,,,,,,,,confirmed
S1C5 24062023,F,Unknown,pan-MPOA-virgin,no VS,BRAC,WT,No_FD,,,tonic,tonic,,0.2,0.25,5002,,,,,,,,,,,-37.30524098,,,,,,,,,confirmed
S1C7 24062023,F,Unknown,pan-MPOA-virgin,no VS,BRAC,WT,No_FD,,,silent,silent,,0,0,0,,,,,0,0,0,0,,0,-52.79047819,,,,,,,,,confirmed
S1C8 24062023,F,Unknown,pan-MPOA-virgin,no VS,BRAC,WT,No_FD,,,tonic,tonic,,0.42,0.6,2359,,,,,,,,,,,-39.15023973,,,,,,,,,confirmed
S1C9 24062023,F,Unknown,pan-MPOA-virgin,no VS,BRAC,WT,No_FD,,,tonic,tonic,,2.92,3.2,341,,,,,,,,,,,-38.59381525,,,,,,,,,confirmed
S1C10 24062023,F,Unknown,pan-MPOA-virgin,no VS,BRAC,WT,No_FD,,,tonic,tonic,,2.32,2.7,430,,,,,,,,,,,-38.96397946,,,,,,,,,confirmed
S1C11 24062023,F,Unknown,pan-MPOA-virgin,no VS,BRAC,WT,No_FD,,,tonic,tonic,,0.1,0.3,9157,,,,,,,,,,,-49.53235644,,,,,,,,,confirmed
S1C12 24062023,F,Unknown,pan-MPOA-virgin,no VS,BRAC,WT,No_FD,,,tonic,tonic,,7.73,8.01,129,,,,,,,,,,,-43.56016574,,,,,,,,,confirmed
S1C13 24062023,F,Unknown,pan-MPOA-virgin,no VS,BRAC,WT,No_FD,,,silent,silent,,0,0,0,,,,,0,0,0,0,,0,-45.21914571,,,,,,,,,confirmed
S1C1 14062019,F,Unknown,pan-MPOA-virgin,D,BRAC,WT,No_FD,,,tonic,tonic,silent,2.8,3,350,yes,14.86,yes,19.59,105.7,3.3,2.33,395,,,,640.4532503,,,,,,,,
S1C2 14062019,F,Unknown,pan-MPOA-virgin,D,BRAC,WT,No_FD,,,tonic,tonic,silent,0.06,0.16,14314,yes,27.86,yes,12.5,91.8,1.8,1.75,188,5,-50.3,-45.39180865,620.8587578,,,,,,,,
S1C1 15062019,F,Unknown,pan-MPOA-virgin,E,BRAC,WT,No_FD,,,phasic,phasic,silent,1.2,2.5,847,no,0,yes,12.42,127,2.7,1.96,387,10,-64.2,-46.33717827,732.9983119,,,,,,,,
S1C2 15062019,F,Unknown,pan-MPOA-virgin,E,BRAC,WT,No_FD,,,tonic,tonic,silent,6.9,7,144,yes,38,yes,10.71,103.9,1.4,1.5,181,3,-56.1,-50.29145681,456.8516054,,,,,,,,
S2C1 15062019,F,Unknown,pan-MPOA-virgin,E,BRAC,WT,No_FD,,,silent,silent,silent,0,0,0,no,0,yes,2,0,0,0,0,13,0,-58.42122913,621.4449758,,,,,,,,
S2C2 15062019,F,Unknown,pan-MPOA-virgin,E,BRAC,WT,No_FD,,,silent,silent,silent,0,0,0,yes,6.2,yes,13,0,0,0,0,30,0,-51.10924683,285.7935404,,,,,,,,
