experiment_day,sex,Gal_positive,state,estrous_stage,ID_mouse,Genotype,Behaviour_6hFD,Cm(pF),Adaptive,I_zero,I_zero_reclassified,60mV,Firing_freq_(Hz)_I0,Instant_freq_(Hz)_1/ISI,isi_(ms),cat_categ,CaT,Ih,Ih_at_-120mV,AP_ampl,AP_halfwidth,AP_time_to_peak,area(mV_ms),rheobase_at_-60mV_(pA),AHP_(mV),Vm,Input_Resistance,sPSC_frequency,sPSC_Amplitude(pA),sPSCs_Rise time,sPSCs (decay),AC-I0,AC_-60,Comments,estrous_confirmation
s1c3 13022024,F,Unknown,pan-MPOA-virgin-NPY100nM,to be stained ,BRAC8644.5e,WT,npy_100,,yes,phasic,phasic,silent,2.63,3.15,379,yes,6.53,yes,3.05,85.9,1.8,3.07,217.1,12,-54.8,-41.63652463,447.7406496,4.240085174,10.6,0.7,8.5,,,,
s1c4 13022024,F,Unknown,pan-MPOA-virgin-NPY100nM,to be stained ,BRAC8644.5e,WT,npy_100,,no,phasic,phasic,silent,1.43,2.5,694.8,yes,2,yes,4,92.5,1.07,1.7,127,36,-54.5,-47.86568091,174.0464629,3.339011925,15.8,1,7.6,,,,
s1c5 13022024,F,Unknown,pan-MPOA-virgin-NPY100nM,to be stained ,BRAC8644.5e,WT,npy_100,,no,silent,silent,silent,0,0,0,yes,15.6,yes,5.4,0,0,0,0,33,0,-48.13129004,128.9204932,0.115384615,29.8,1.1,8.4,,,,
s1c6 13022025,F,Unknown,pan-MPOA-virgin-NPY100nM,to be stained ,BRAC8644.5e,WT,npy_100,,no,silent,silent,silent,0,0,0,yes,2,yes,4.3,0,0,0,0,36,0,-50.86776812,367.055889,3.631484794,17.9,1,10.3,,,,
S1C1 26092023,F,Unknown,pan-MPOA-virgin-Agrp100nM,to be stained ,BRAC7971.7f,WT,agrp_100,,,silent,silent,silent,0,0,0,yes,22.3,yes,3.4,0,0,0,0,,0,-53.08403717,387.6952437,,,,,,,,
S2C1 26092023,F,Unknown,pan-MPOA-virgin-Agrp100nM,to be stained ,BRAC7971.7f,WT,agrp_100,,,silent,silent,silent,0,0,0,no,0,yes,3.81,0,0,0,0,,0,-31.59303301,883.7632111,,,,,,,,
S1C1 25092023,F,Unknown,pan-MPOA-virgin-Agrp100nM,to be stained ,BRAC8423.2g,WT,agrp_100,,,silent,silent,silent,0,0,0,no,0,yes,3.6,0,0,0,0,,0,-70.93053512,151.5,,,,,,,,
S2C1 25092023,F,Unknown,pan-MPOA-virgin-Agrp100nM,to be stained ,BRAC8423.2g,WT,agrp_100,,yes,tonic,tonic,silent,0.2,0.6,5126,yes,34.55,yes,9.55,72,3.31,3,264.4,,-49,-37.97261639,719.0159636,,,,,,,,
S1C1 19092023,F,Unknown,pan-MPOA-virgin-Agrp100nM,to be stained ,BRAC8423.2f,WT,agrp_100,,,tonic,tonic,silent ,0.3,0.75,3457,no,0,yes,3.75,46.9,9.4,17.5,1125,,-33.5,-29.34037218,731.1597085,,,,,,,,
S2C1 19092023,F,Unknown,pan-MPOA-virgin-Agrp100nM,to be stained ,BRAC8423.2f,WT,agrp_100,,,silent,silent,silent,0,0,0,no,0,no,0,0,0,0,0,,0,-51.96531028,662.4716052,,,,,,,,
S3C1 19092023,F,Unknown,pan-MPOA-virgin-Agrp100nM,to be stained ,BRAC8423.2f,WT,agrp_100,,,tonic,tonic,silent ,0,0,0,no,0,yes,2.08,0,0,0,0,,0,-79.61272483,407.5349006,,,,,,,,
S2C1 18092023,F,Unknown,pan-MPOA-virgin-Agrp100nM,to be stained ,BRAC7971.7g,WT,agrp_100,,no,tonic,tonic,silent,0.45,1,2183.6,no,0,yes,10.2,86.8,2.6,2.3,260.8,,-38.9,-28.35668182,786.5437297,0.283562251,9.4,1.6,17,,,,
s1c1 21112023,F,Unknown,pan-MPOA-virgin-Agrp100nM,to be stained ,BRAC8700.2h,WT,agrp_100,,yes,tonic,tonic,silent,0.08,0.2,11833,no,0,no,0,107.1,2.21,1.8,288,3,-61.9,-59.66520364,674.5836804,1.446666667,20.3,0.8,5.5,,,,
s1c2 21112024,F,Unknown,pan-MPOA-virgin-Agrp100nM,to be stained ,BRAC8700.2h,WT,agrp_100,,no,tonic,tonic,silent,0.4,0.8,2518,no,0,no,0,78.4,3.4,2.3,290,18,-46.1,-39.51672792,734.8484252,,,,,bad recording for synaptic ,,,
s1c3 21112025,F,Unknown,pan-MPOA-virgin-Agrp100nM,to be stained ,BRAC8700.2h,WT,agrp_100,,yes,phasic,phasic,silent,0.8,1.2,1198,no,0,yes,4,106,1.9,1.8,243,6,-56.7,-44.59087942,687.8868206,0.446666667,10,1.5,14,,,,
s1c4 21112026,F,Unknown,pan-MPOA-virgin-Agrp100nM,to be stained ,BRAC8700.2h,WT,agrp_100,,no,phasic,phasic,silent ,0.5,1.05,1951,no,0,no,0,100.6,2.7,1.95,294,5,-50.2,-44.22841324,840.0847134,1.2325,7.9,1.6,15,,,,
s1c5 21112027,F,Unknown,pan-MPOA-virgin-Agrp100nM,to be stained ,BRAC8700.2h,WT,agrp_100,,yes,silent,silent,silent,0,0,0,no,0,no,0,0,0,0,0,,0,-51.86038544,790.5346104,0.43625498,5.6,3.8,20.3,Forgot rheobase,,,
s1c6 21112028,F,Unknown,pan-MPOA-virgin-Agrp100nM,to be stained ,BRAC8700.2h,WT,agrp_100,,yes,tonic,tonic,phasic,2.7,3,374.6,no,0,yes,4.61,93.7,3,2.3,314.2,8,-48.2,-41.04578838,692.7202549,5.112211221,12.5,1.1,10.7,,,,
s1c7 21112029,F,Unknown,pan-MPOA-virgin-Agrp100nM,to be stained ,BRAC8700.2h,WT,agrp_100,,no,tonic,tonic,silent ,1,1.5,980.4,no,0,no,0,97.3,2.1,2,238.8,7,-52.6,-42.51276256,778.1546083,0.603804797,9.9,1.6,18.8,,,,
S2C3 18102023,F,Unknown,pan-MPOA-virgin-ZD7288-50μM,to be stained ,BRAC8056.6i,WT,ZD7288,,yes,silent,silent,silent,0,0,0,yes,9.7,no,0,0,0,0,0,,0,-41.85146007,873.3073613,,,,,,,,
S2C4 18102023,F,Unknown,pan-MPOA-virgin-ZD7288-50μM,to be stained ,BRAC8056.6i,WT,ZD7288,,yes,tonic,tonic,silent,1,2.4,1003,no,0,no,0,87.1,2.3,1.7,220.7,2,-54,-48.03694022,947.7872189,0.700046361,18.9,0.9,6.8,,,,
s2c5 18102023,F,Unknown,pan-MPOA-virgin-ZD7288-50μM,to be stained ,BRAC8056.6i,WT,ZD7288,,yes,silent,silent,silent,0,0,0,no,0,no,0,0,0,0,0,3,0,-45.17322103,932.7058801,0.131147541,5.7,3.9,1.4,,,,
s2c6 18102023,F,Unknown,pan-MPOA-virgin-ZD7288-50μM,to be stained ,BRAC8056.6i,WT,ZD7288,,yes,silent,silent,silent,0,0,0,yes,19,no,0,0,0,0,0,14,0,-38.76460819,836.0612475,0.149321267,5.7,2,13.3,,,,
s1c3 20102023,F,Unknown,pan-MPOA-virgin-ZD7288-50μM,to be stained ,BRAC8056.6i,WT,ZD7288,,?,silent,silent,silent,0,0,0,yes,9,no,0,0,0,0,0,15,0,-57.76949133,737.4248867,0.376666667,5.8,0.6,6.9,,,,
s1c4 20102023,F,Unknown,pan-MPOA-virgin-ZD7288-50μM,to be stained ,BRAC8056.6i,WT,ZD7288,,yes,silent,silent,silent,0,0,0,no,0,no,0,0,0,0,0,3,0,-40.37629764,743.9563991,0.104518906,7.9,1.4,5.7,,,,
s1c5 20102023,F,Unknown,pan-MPOA-virgin-ZD7288-50μM,to be stained ,BRAC8056.6i,WT,ZD7288,,yes,silent,silent,phasic,0,0,0,no,0,no,0,0,0,0,0,2,0,-28.16403208,948.5622217,0.236666667,9.1,0.7,8.1,,,,
s1c6 20102023,F,Unknown,pan-MPOA-virgin-ZD7288-50μM,to be stained ,BRAC8056.6i,WT,ZD7288,,yes,silent,silent,silent ,0,0,0,no,0,no,0,0,0,0,0,3,0,-34.88869042,975.2395136,0.089613035,4.4,1.4,39.1,,,,
s1c7 20102023,F,Unknown,pan-MPOA-virgin-ZD7288-50μM,to be stained ,BRAC8056.6i,WT,ZD7288,,yes,silent,silent,silent,0,0,0,no,0,no,0,0,0,0,0,8,0,-39.80125366,680.9462955,0.651428571,7,1.3,9.3,,,,
S1c1 14112023,F,Unknown,pan-MPOA-virgin-ZD7288-20μM,to be stained ,BRAC,WT,ZD7288_20,,,silent,silent,silent,0,0,0,,,,,0,0,0,0,,0,-43.76232583,,,,,,only Io,,,
S1c2 14112024,F,Unknown,pan-MPOA-virgin-ZD7288-20μM,to be stained ,BRAC,WT,ZD7288_20,,yes,silent,silent,silent,0,0,0,no,0,no,0,0,0,0,0,9,0,-25.39417642,776.7725757,2.71257485,19.5,0.7,7.6,,,,
S1c3 14112025,F,Unknown,pan-MPOA-virgin-ZD7288-20μM,to be stained ,BRAC,WT,ZD7288_20,,,silent,silent,silent,0,0,0,,,,,0,0,0,0,,0,-37.80926718,,5.595309681,11.4,1.2,11.2,only I0,,,
S1c4 14112026,F,Unknown,pan-MPOA-virgin-ZD7288-20μM,to be stained ,BRAC,WT,ZD7288_20,,yes,silent,silent,silent,0,0,0,no,0,no,0,0,0,0,0,18,0,-44.78067902,759.8893417,1.960655738,13.2,1.2,12.2,,,,
S1c5 14112027,F,Unknown,pan-MPOA-virgin-ZD7288-20μM,to be stained ,BRAC,WT,ZD7288_20,,yes,silent,silent,silent,0,0,0,yes,15.4,no,0,0,0,0,0,9,0,-34.60885988,757.0272806,0.4957039,7.7,0.9,8.6,,,,
s1c1 07042024,F,Unknown ,pan-MPOA-virgin-NPYKD,E?,JKBR4.1e,WT,npykd,,yes,silent,silent,silent,0,0,0,no,0,yes,1.74,0,0,0,0,21,0,-32,904.3,2.302487997,7.7,2.1,15,,,,
s1c2 07042025,F,Unknown ,pan-MPOA-virgin-NPYKD,E?,JKBR4.1e,WT,npykd,,no,tonic,tonic,silent,5.8,6.1,171.9,yes,3.81,yes,6.71,58,3.7,2.7,251.1,15,-32.4,-27.5812208,686.8136225,6.077399381,12.8,0.8,8,,,,
s1c3 07042026,F,Unknown ,pan-MPOA-virgin-NPYKD,E?,JKBR4.1e,WT,npykd,,no,silent,silent,silent,0,0,0,no,0,yes,2.26,0,0,0,0,24,0,-49.37742141,835.6724327,5.190664037,17.2,0.7,8.2,,,,
s1c4 07042027,F,Unknown ,pan-MPOA-virgin-NPYKD,E?,JKBR4.1e,WT,npykd,,no ,tonic,tonic,silent,5.2,5.5,191,yes,14.7,yes,2.14,62,6,5.5,224.5,6,-41.9,-34.46720184,918.0821478,0.839626833,11.9,1.8,18.1,,,,
s1c5 07042028,F,Unknown ,pan-MPOA-virgin-NPYKD,E?,JKBR4.1e,WT,npykd,,no,phasic,phasic,silent,0.4,1,2608.5,no,0,yes,12.2,90.3,2.4,2,258.5,18,-46,-37.45393586,764.4648042,5.91959799,10.4,0.7,7.6,,,,
s1c6 07042029,F,Unknown ,pan-MPOA-virgin-NPYKD,E?,JKBR4.1e,WT,npykd,,yes,tonic,tonic,silent,0.6,0.9,1648.4,no,0,no,0,88.9,3.3,2.5,311.5,18,-45.2,-35.04774669,976.6043146,0.057239057,10.9,1.3,6.7,,,,
s1c7 07042030,F,Unknown ,pan-MPOA-virgin-NPYKD,E?,JKBR4.1e,WT,npykd,,yes,tonic,tonic,silent,0.6,1,1937.5,no,0,yes,8.12,97.6,2.6,2.3,294.6,9,-46.4,-32.61381356,939.0093534,1.357213276,14.3,0.9,7.6,,,,
s1c8 07042031,F,Unknown ,pan-MPOA-virgin-NPYKD,E?,JKBR4.1e,WT,npykd,,no,tonic,tonic,silent,0.08,0.74,11376,no,0,yes,2.81,71.7,1.8,1.6,156.3,9,-50.5,-42.69552726,835.4879273,6.579288026,14.4,0.9,7.5,,,,
s1c1 24042024,F,Unknown ,pan-MPOA-virgin-NPYKD,M,JKAJ32.4f,WT,npykd,,no,tonic,tonic,silent,1.8,2,551.5,no,0,yes,7.3,92.7,1.9,1.8,202.3,42,-42,-37.25529441,372.475739,,,,,no synaptic,,,
s1c2 24042025,F,Unknown ,pan-MPOA-virgin-NPYKD,M,JKAJ32.4f,WT,npykd,,no,silent,silent,silent,0,0,0,yes,5.55,yes,3.97,0,0,0,0,33,0,-44.95770195,468.5037319,0.512950736,8.9,1.1,10.9,,,,
s2c1 24042026,F,Unknown ,pan-MPOA-virgin-NPYKD,M,JKAJ32.4f,WT,npykd,,yes,tonic,tonic,silent,3.5,5.2,286,no,0,yes,1.7,81.4,1.5,1.9,152.6,,-37.4,-25.17376695,1066.781065,0.489270386,6.1,0.7,6.8,no rheobase ,,,
s2c2 24042027,F,Unknown ,pan-MPOA-virgin-NPYKD,M,JKAJ32.4f,WT,npykd,,yes,phasic,phasic,silent,1.4,1.8,693,no,0,yes,9,83.5,3,2.4,271,12,-38.5,-29.8399029,793.4349112,2.523020258,10,1.1,11.1,,,,
s2c5  24042028,F,Unknown ,pan-MPOA-virgin-NPYKD,M,JKAJ32.4f,WT,npykd,,no,tonic,tonic,silent,2.3,2.8,438.6,no,0,yes,1.31,101.4,2.1,1.8,248.7,10,-43.3,-35.14759148,872.5328672,,,,,no synaptic ,,,
s1c1 27042024,F,Unknown ,pan-MPOA-virgin-NPYKD,M,JKAJ32.4g,WT,npykd,,no,silent,silent,silent,0,0,0,no,0,yes,9.25,0,0,0,0,9,0,-49.17209408,824.2274003,1.2,6.7,2.4,16.7,,,,
s1c2 27042025,F,Unknown ,pan-MPOA-virgin-NPYKD,M,JKAJ32.4g,WT,npykd,,no,silent,silent,silent,0,0,0,no,0,yes,11.2,0,0,0,0,9,0,-33.2702004,749.8190581,4.016844833,7.4,1,11.3,,,,
s1c3 27042026,F,Unknown ,pan-MPOA-virgin-NPYKD,M,JKAJ32.4g,WT,npykd,,yes,tonic,tonic,silent,1.3,3.5,791,yes,31.4,yes,8.3,50,4.7,3.3,156.1,12,-33.2,-28.39416513,690.0475211,,,,,no synaptic,,,
s1c4 27042027,F,Unknown ,pan-MPOA-virgin-NPYKD,M,JKAJ32.4g,WT,npykd,,yes,tonic,tonic,silent,2.7,2.9,365,no,0,yes,9.2,78.9,2.7,2.3,241,8,-46.7,-38.36659408,926.6444773,4.749518304,9.2,1.3,11.4,,,,
s1c5 27042028,F,Unknown ,pan-MPOA-virgin-NPYKD,M,JKAJ32.4g,WT,npykd,,yes,tonic,tonic,silent,3.5,4.3,282.7,yes,18.2,yes,10,56.1,3.4,2.8,222.7,8,-41,-35.78626483,739.4049171,2.801223242,11,1.3,11.1,,,,
s1c6 27042029,F,Unknown ,pan-MPOA-virgin-NPYKD,M,JKAJ32.4g,WT,npykd,,yes,phasic,phasic,silent,8.8,9.6,113.6,no,0,yes,15.6,62.8,4.5,3.1,300,12,-35.3,-30.64717648,777.4809729,3.194339146,12.2,1.1,13.5,,,,
