,experiment_day,sex,Gal_positive,state,estrous_stage,ID_mouse,Genotype,Behaviour_6hFD,aggressive,Cm(pF),Adaptive,I_zero,I_zero_reclassified,60mV,Firing_freq_(Hz)_I0,Instant_freq_(Hz),isi_(ms),cat_categ,CaT,Ih,Ih_at_-120mV,AP_ampl,AP_halfwidth,AP_time_to_peak,area(mV_ms),rheobase_at_-60mV_(pA),AHP_(mV),Vm,Input_Resistance,sPSC_frequency,sPSC_Amplitude(pA),sPSCs_Rise time,sPSCs (decay),AC-I0,AC_-60,Comments,estrous_confirmation
79,S3C2 30072019,F,Unknown,pan-MPOA-virgin,D,BRAC,WT,Pre,,,no,phasic,phasic,silent,0.2,5.0,5285.0,no,0.0,yes,6.5,98.4,1.8,1.9,202.0,70.0,-60.6,-42.81522671,275.6928631,,,,,,,,confirmed
80,S1C1 02082019,F,Unknown,pan-MPOA-virgin,M,BRAC,WT,Pre,,,,phasic,phasic,silent,0.3,0.9,3283.0,yes,21.5,yes,19.1,96.8,1.5,1.6,176.0,,-54.3,-44.61365002,229.8812704,,,,,,,,confirmed
81,S1C2 02082019,F,Unknown,pan-MPOA-virgin,M,BRAC,WT,Pre,,,no,tonic,tonic,silent,10.3,10.8,96.7,no,0.0,no,0.0,106.4,0.6,1.4,97.0,2.0,-57.0,-51.00154134,561.4287862,,,,,,,,confirmed
82,S2C1 02082019,F,Unknown,pan-MPOA-virgin,M,BRAC,WT,Pre,,,no,tonic,tonic,silent,4.1,4.2,246.7,no,0.0,yes,3.75,105.7,2.0,1.9,242.0,9.0,-61.2,-47.87877751,294.4161681,,,,,,,,confirmed
83,S1C1 19082019,F,Unknown,pan-MPOA-virgin,D,BRAC,WT,Pre,,,yes,tonic,tonic,silent,0.1,0.2,9375.0,yes,26.0,yes,13.0,89.4,2.2,1.9,223.0,6.0,-53.1,-34.12664935,330.1679284,,,,,,,,confirmed
84,S1C2 19082019,F,Unknown,pan-MPOA-virgin,D,BRAC,WT,Pre,,,,silent,silent,silent,0.0,0.0,0.0,no,0.0,no,0.0,0.0,0.0,0.0,0.0,,0.0,-51.95367058,524.0500354,,,,,,,,confirmed
85,S2C1 19082019,F,Unknown,pan-MPOA-virgin,D,BRAC,WT,Pre,,,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,no,0.0,0.0,0.0,0.0,0.0,39.0,0.0,-58.80171848,281.8751873,,,,,,,,confirmed
86,S1C1 29082019,F,Unknown,pan-MPOA-virgin,D,BRAC,WT,Pre,,,yes,tonic,tonic,silent,2.4,2.8,421.0,yes,4.61,yes,8.42,44.15,,11.0,655.0,11.0,-36.8,-30.03438943,784.475555,,,,,,,,confirmed
87,S1C2 29082019,F,Unknown,pan-MPOA-virgin,D,BRAC,WT,Pre,,,yes,tonic,tonic,silent,0.02,0.02,42413.0,yes,14.0,yes,7.14,115.3,2.0,1.75,272.0,5.0,-52.1,-50.45994407,610.6660223,,,,,,,,confirmed
88,S2C1 29082019,F,Unknown,pan-MPOA-virgin,D,BRAC,WT,Pre,,,no,phasic,phasic,silent,0.14,0.64,6675.0,yes,12.6,yes,14.53,110.3,1.7,1.8,217.0,7.0,-65.7,-51.20750613,517.7145392,,,,,,,,confirmed
89,S2C2 29082019,F,Unknown,pan-MPOA-virgin,D,BRAC,WT,Pre,,,yes,phasic,phasic,silent,0.74,3.9,1321.0,yes,9.7,yes,6.71,81.6,3.7,2.25,318.0,6.0,-45.7,-44.73551264,728.9059234,,,,,,,,confirmed
90,S1C1 21082019,F,Unknown,pan-MPOA-virgin,M,BRAC,WT,Pre,,,,tonic,tonic,silent,0.3,4.15,3086.0,,,,,113.1,1.0,1.6,139.6,,-66.1,-56.59590494,,,,,,,,,confirmed
91,S1C2 21082019,F,Unknown,pan-MPOA-virgin,M,BRAC,WT,Pre,,,yes,tonic,tonic,silent,1.6,2.0,619.0,no,0.0,no,0.0,95.7,2.7,2.1,293.0,4.0,-47.2,-42.6946868,455.7879362,,,,,,,,confirmed
92,S2C1 21082019,F,Unknown,pan-MPOA-virgin,M,BRAC,WT,Pre,,,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,9.46,0.0,0.0,0.0,0.0,13.0,0.0,-50.52052344,444.7702902,,,,,,,,confirmed
93,S2C2 21082019,F,Unknown,pan-MPOA-virgin,M,BRAC,WT,Pre,,,yes,tonic,tonic,phasic,3.9,4.3,258.0,yes,36.53,yes,1.43,81.35,1.6,1.7,160.0,2.0,-56.6,-52.11715327,499.0279208,,,,,,,,confirmed
94,S1C1 01052023,F,Unknown,pan-MPOA-virgin,D,BRAC7560.6e,WT,Pre,,,,tonic,tonic,,0.8,1.1,1265.0,,,,,72.2,3.4,2.4,255.0,,-51.4,-40.90409684,,2.692982456,9.8,1.0,7.7,,,,
95,S1C1 22072023,F,Unknown,pan-MPOA-virgin,P,BRAC8524.1g,WT,Pre,,,,,,,,,,,,,,,,,,,,,,4.928571429,14.2,1.1,6.4,,,,confirmed
