,Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Nucleus/Cell area ratio
2023,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1259.6,3974.0,52.5,28.5441,0.8097,10.0053,6.8794,0.7052,48.5869,10349.0,13.442,95.0,28.0,67.0,15.8685,3380.0,1.4081,19.0,13.0,6.0,133.75,42.2765,0.9404,14.2163,12.6859,0.363,37.5722,14.1613,102.0,23.0,13.5333,2.3189,19.0,9.0,30.3976,9.1196,102.0,23.0,12.0122,1.3106,16.0,9.0,0.3978
2024,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1310.4,3977.9,41.25,24.8539,0.8392,9.4141,6.2956,0.7372,115.7588,19679.0,49.7798,255.0,46.0,209.0,16.1412,2744.0,1.4688,20.0,13.0,7.0,136.0,42.5537,0.9438,15.277,12.0,0.5849,76.4414,42.6141,255.0,27.0,13.6209,2.0447,20.0,10.0,58.6649,22.4677,123.0,27.0,12.4814,0.9604,15.0,10.0,0.3005
2025,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1276.0,3981.7,90.0,41.4292,0.6589,13.2339,10.6869,0.6257,76.8852,28140.0,41.2472,247.0,28.0,219.0,19.377,7092.0,2.4495,25.0,14.0,11.0,217.0,58.1518,0.8064,19.2511,15.6015,0.6118,58.5619,34.0785,247.0,23.0,15.8922,3.5695,25.0,10.0,45.3083,18.8153,122.0,23.0,13.3715,1.5721,19.0,10.0,0.4174
2026,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1205.9,3980.4,32.75,21.94,0.855,7.298,6.2652,0.4784,86.7518,11885.0,30.6872,203.0,42.0,161.0,30.8978,4233.0,6.4652,45.0,20.0,25.0,110.75,38.788,0.925,12.8233,11.8626,0.3656,63.7146,31.843,203.0,20.0,19.3551,8.8884,45.0,9.0,53.4675,26.5917,182.0,20.0,14.2208,3.1369,25.0,9.0,0.2971
2027,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1005.5,3981.8,43.5,25.6603,0.8302,9.3293,6.2677,0.7281,34.8857,6105.0,11.2443,107.0,27.0,80.0,13.6286,2385.0,1.3873,17.0,11.0,6.0,118.0,41.9153,0.844,14.9145,9.5787,0.7872,40.8228,22.7802,159.0,24.0,11.8966,1.7819,17.0,8.0,44.2977,26.7776,159.0,24.0,10.8829,1.0601,14.0,8.0,0.366
2028,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,991.38,3984.1,138.75,48.3568,0.7456,17.8523,11.9282,0.7233,37.6398,21003.0,27.1855,249.0,24.0,225.0,16.6541,9293.0,2.1772,23.0,12.0,11.0,278.5,62.0697,0.9084,21.1678,17.7672,0.5139,41.7878,36.8306,255.0,22.0,14.2193,3.0514,23.0,8.0,45.9284,44.0553,255.0,22.0,11.7889,1.43,15.0,8.0,0.5013
2029,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1052.4,3983.7,76.5,33.8731,0.8378,11.431,8.8597,0.6525,49.6275,15186.0,9.8941,84.0,34.0,50.0,128.5784,39345.0,36.7949,198.0,59.0,139.0,194.25,51.5181,0.9197,17.2261,14.5701,0.5001,37.722,12.3099,84.0,21.0,69.0502,55.0756,198.0,11.0,29.9873,5.8677,62.0,21.0,30.3758,17.9899,90.0,11.0,0.3893
2030,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1257.1,3984.4,41.5,26.3052,0.7537,9.5506,6.3923,0.7297,89.5291,15399.0,48.078,186.0,26.0,160.0,14.7674,2540.0,1.2252,18.0,12.0,6.0,126.25,43.9637,0.8208,15.7412,10.268,0.7404,59.1361,43.3135,186.0,23.0,13.0375,1.6813,18.0,10.0,43.5313,30.64,166.0,23.0,12.1493,1.0869,15.0,10.0,0.3305
2031,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1032.0,3985.9,37.5,25.1963,0.7423,8.2771,6.7479,0.3823,38.1456,6027.0,10.8474,73.0,24.0,49.0,16.6392,2629.0,1.1014,19.0,14.0,5.0,128.0,42.0188,0.911,13.7282,12.32,0.2686,39.3366,10.8306,75.0,23.0,15.0658,1.7739,19.0,11.0,39.8607,10.7966,75.0,23.0,14.3733,1.5589,19.0,11.0,0.2986
2032,JKAH28.1g_MPOA_1_Scan1.qptiff - resolution #1_Region 3.ome.tif,PathCellObject,,Anteroventral preoptic nucleus,Polygon,1217.3,3989.4,53.25,28.1173,0.8464,10.1232,7.1981,0.7485,86.8558,18674.0,41.7722,255.0,34.0,221.0,15.1488,3257.0,1.5426,21.0,12.0,9.0,153.5,45.2197,0.9433,15.8847,12.2565,0.6378,51.7427,36.8641,255.0,21.0,12.4337,2.4692,21.0,7.0,33.0099,12.0701,82.0,21.0,10.9851,1.4299,16.0,7.0,0.3438
