,BrainRegion,Class,Num_cells,id,channel
174,Dorsomedial nucleus of the hypothalamus,negative,55,BRAC5872.1f,cfos
175,Dorsomedial nucleus of the hypothalamus,positive,2354,BRAC5872.1f,cfos
176,Ectorhinal area/Layer 1,negative,23,BRAC5872.1f,cfos
177,Ectorhinal area/Layer 1,positive,249,BRAC5872.1f,cfos
178,Ectorhinal area/Layer 2/3,negative,52,BRAC5872.1f,cfos
179,Ectorhinal area/Layer 2/3,positive,1373,BRAC5872.1f,cfos
180,Ectorhinal area/Layer 5,negative,34,BRAC5872.1f,cfos
181,Ectorhinal area/Layer 5,positive,1640,BRAC5872.1f,cfos
182,Ectorhinal area/Layer 6a,negative,23,BRAC5872.1f,cfos
183,Ectorhinal area/Layer 6a,positive,1159,BRAC5872.1f,cfos
184,Ectorhinal area/Layer 6b,negative,4,BRAC5872.1f,cfos
185,Ectorhinal area/Layer 6b,positive,125,BRAC5872.1f,cfos
186,Edinger-Westphal nucleus,negative,0,BRAC5872.1f,cfos
187,Edinger-Westphal nucleus,positive,25,BRAC5872.1f,cfos
188,"Endopiriform nucleus, dorsal part",negative,246,BRAC5872.1f,cfos
189,"Endopiriform nucleus, dorsal part",positive,5253,BRAC5872.1f,cfos
190,"Endopiriform nucleus, ventral part",negative,146,BRAC5872.1f,cfos
191,"Endopiriform nucleus, ventral part",positive,2592,BRAC5872.1f,cfos
192,"Entorhinal area, lateral part, layer 1",negative,8,BRAC5872.1f,cfos
193,"Entorhinal area, lateral part, layer 1",positive,589,BRAC5872.1f,cfos
194,"Entorhinal area, lateral part, layer 2",negative,20,BRAC5872.1f,cfos
195,"Entorhinal area, lateral part, layer 2",positive,1877,BRAC5872.1f,cfos
196,"Entorhinal area, lateral part, layer 3",negative,25,BRAC5872.1f,cfos
197,"Entorhinal area, lateral part, layer 3",positive,1201,BRAC5872.1f,cfos
198,"Entorhinal area, lateral part, layer 5",negative,24,BRAC5872.1f,cfos
199,"Entorhinal area, lateral part, layer 5",positive,1020,BRAC5872.1f,cfos
200,"Entorhinal area, lateral part, layer 6a",negative,9,BRAC5872.1f,cfos
201,"Entorhinal area, lateral part, layer 6a",positive,468,BRAC5872.1f,cfos
202,Ethmoid nucleus of the thalamus,negative,2,BRAC5872.1f,cfos
203,Ethmoid nucleus of the thalamus,positive,652,BRAC5872.1f,cfos
204,Fasciola cinerea,negative,6,BRAC5872.1f,cfos
205,Fasciola cinerea,positive,172,BRAC5872.1f,cfos
206,Field CA1,negative,162,BRAC5872.1f,cfos
207,Field CA1,positive,14403,BRAC5872.1f,cfos
208,Field CA2,negative,11,BRAC5872.1f,cfos
209,Field CA2,positive,993,BRAC5872.1f,cfos
210,Field CA3,negative,140,BRAC5872.1f,cfos
211,Field CA3,positive,10605,BRAC5872.1f,cfos
212,Fields of Forel,negative,3,BRAC5872.1f,cfos
213,Fields of Forel,positive,798,BRAC5872.1f,cfos
214,Fundus of striatum,negative,13,BRAC5872.1f,cfos
215,Fundus of striatum,positive,1325,BRAC5872.1f,cfos
216,"Globus pallidus, external segment",negative,14,BRAC5872.1f,cfos
217,"Globus pallidus, external segment",positive,3326,BRAC5872.1f,cfos
218,"Globus pallidus, internal segment",negative,3,BRAC5872.1f,cfos
219,"Globus pallidus, internal segment",positive,674,BRAC5872.1f,cfos
220,"Gustatory areas, layer 1",negative,4,BRAC5872.1f,cfos
221,"Gustatory areas, layer 1",positive,195,BRAC5872.1f,cfos
222,"Gustatory areas, layer 2/3",negative,5,BRAC5872.1f,cfos
223,"Gustatory areas, layer 2/3",positive,1034,BRAC5872.1f,cfos
224,"Gustatory areas, layer 4",negative,0,BRAC5872.1f,cfos
225,"Gustatory areas, layer 4",positive,612,BRAC5872.1f,cfos
226,"Gustatory areas, layer 5",negative,3,BRAC5872.1f,cfos
227,"Gustatory areas, layer 5",positive,1581,BRAC5872.1f,cfos
228,"Gustatory areas, layer 6a",negative,13,BRAC5872.1f,cfos
229,"Gustatory areas, layer 6a",positive,1547,BRAC5872.1f,cfos
230,"Gustatory areas, layer 6b",negative,1,BRAC5872.1f,cfos
231,"Gustatory areas, layer 6b",positive,101,BRAC5872.1f,cfos
232,Hippocampal formation,negative,17,BRAC5872.1f,cfos
233,Hippocampal formation,positive,399,BRAC5872.1f,cfos
234,Hippocampo-amygdalar transition area,negative,7,BRAC5872.1f,cfos
235,Hippocampo-amygdalar transition area,positive,65,BRAC5872.1f,cfos
236,Hypothalamus,negative,361,BRAC5872.1f,cfos
237,Hypothalamus,positive,9105,BRAC5872.1f,cfos
238,Induseum griseum,negative,6,BRAC5872.1f,cfos
239,Induseum griseum,positive,226,BRAC5872.1f,cfos
240,Interanterodorsal nucleus of the thalamus,negative,1,BRAC5872.1f,cfos
241,Interanterodorsal nucleus of the thalamus,positive,577,BRAC5872.1f,cfos
242,Interanteromedial nucleus of the thalamus,negative,0,BRAC5872.1f,cfos
243,Interanteromedial nucleus of the thalamus,positive,183,BRAC5872.1f,cfos
244,Intercalated amygdalar nucleus,negative,18,BRAC5872.1f,cfos
245,Intercalated amygdalar nucleus,positive,951,BRAC5872.1f,cfos
246,Interfascicular nucleus raphe,negative,1,BRAC5872.1f,cfos
247,Interfascicular nucleus raphe,positive,112,BRAC5872.1f,cfos
248,Intergeniculate leaflet of the lateral geniculate complex,negative,6,BRAC5872.1f,cfos
249,Intergeniculate leaflet of the lateral geniculate complex,positive,155,BRAC5872.1f,cfos
250,Intermediate geniculate nucleus,negative,0,BRAC5872.1f,cfos
251,Intermediate geniculate nucleus,positive,47,BRAC5872.1f,cfos
252,Intermediodorsal nucleus of the thalamus,negative,0,BRAC5872.1f,cfos
253,Intermediodorsal nucleus of the thalamus,positive,1273,BRAC5872.1f,cfos
254,"Interpeduncular nucleus, rostral",negative,0,BRAC5872.1f,cfos
255,"Interpeduncular nucleus, rostral",positive,66,BRAC5872.1f,cfos
256,"Interpeduncular nucleus, rostrolateral",negative,0,BRAC5872.1f,cfos
257,"Interpeduncular nucleus, rostrolateral",positive,13,BRAC5872.1f,cfos
258,Interstitial nucleus of Cajal,negative,0,BRAC5872.1f,cfos
259,Interstitial nucleus of Cajal,positive,195,BRAC5872.1f,cfos
260,Lateral amygdalar nucleus,negative,100,BRAC5872.1f,cfos
261,Lateral amygdalar nucleus,positive,2002,BRAC5872.1f,cfos
262,Lateral dorsal nucleus of thalamus,negative,4,BRAC5872.1f,cfos
263,Lateral dorsal nucleus of thalamus,positive,2585,BRAC5872.1f,cfos
264,Lateral habenula,negative,15,BRAC5872.1f,cfos
265,Lateral habenula,positive,1397,BRAC5872.1f,cfos
266,Lateral hypothalamic area,negative,86,BRAC5872.1f,cfos
267,Lateral hypothalamic area,positive,5718,BRAC5872.1f,cfos
268,Lateral mammillary nucleus,negative,19,BRAC5872.1f,cfos
269,Lateral mammillary nucleus,positive,138,BRAC5872.1f,cfos
270,Lateral posterior nucleus of the thalamus,negative,27,BRAC5872.1f,cfos
271,Lateral posterior nucleus of the thalamus,positive,3091,BRAC5872.1f,cfos
272,Lateral preoptic area,negative,3,BRAC5872.1f,cfos
273,Lateral preoptic area,positive,1096,BRAC5872.1f,cfos
274,"Lateral septal nucleus, caudal (caudodorsal) part",negative,81,BRAC5872.1f,cfos
275,"Lateral septal nucleus, caudal (caudodorsal) part",positive,608,BRAC5872.1f,cfos
276,"Lateral septal nucleus, rostral (rostroventral) part",negative,159,BRAC5872.1f,cfos
277,"Lateral septal nucleus, rostral (rostroventral) part",positive,5045,BRAC5872.1f,cfos
278,"Lateral septal nucleus, ventral part",negative,67,BRAC5872.1f,cfos
279,"Lateral septal nucleus, ventral part",positive,3223,BRAC5872.1f,cfos
280,Lateral terminal nucleus of the accessory optic tract,negative,3,BRAC5872.1f,cfos
281,Lateral terminal nucleus of the accessory optic tract,positive,70,BRAC5872.1f,cfos
282,"Lateral visual area, layer 4",negative,0,BRAC5872.1f,cfos
283,"Lateral visual area, layer 4",positive,2,BRAC5872.1f,cfos
284,"Lateral visual area, layer 5",negative,0,BRAC5872.1f,cfos
285,"Lateral visual area, layer 5",positive,8,BRAC5872.1f,cfos
286,"Lateral visual area, layer 6a",negative,0,BRAC5872.1f,cfos
287,"Lateral visual area, layer 6a",positive,26,BRAC5872.1f,cfos
288,"Lateral visual area, layer 6b",negative,0,BRAC5872.1f,cfos
289,"Lateral visual area, layer 6b",positive,4,BRAC5872.1f,cfos
290,Magnocellular nucleus,negative,5,BRAC5872.1f,cfos
291,Magnocellular nucleus,positive,1158,BRAC5872.1f,cfos
292,Medial accesory oculomotor nucleus,negative,0,BRAC5872.1f,cfos
293,Medial accesory oculomotor nucleus,positive,35,BRAC5872.1f,cfos
294,Medial amygdalar nucleus,negative,274,BRAC5872.1f,cfos
295,Medial amygdalar nucleus,positive,10113,BRAC5872.1f,cfos
296,"Medial geniculate complex, dorsal part",negative,1,BRAC5872.1f,cfos
297,"Medial geniculate complex, dorsal part",positive,76,BRAC5872.1f,cfos
298,"Medial geniculate complex, medial part",negative,1,BRAC5872.1f,cfos
299,"Medial geniculate complex, medial part",positive,554,BRAC5872.1f,cfos
300,"Medial geniculate complex, ventral part",negative,1,BRAC5872.1f,cfos
301,"Medial geniculate complex, ventral part",positive,486,BRAC5872.1f,cfos
302,Medial habenula,negative,19,BRAC5872.1f,cfos
303,Medial habenula,positive,922,BRAC5872.1f,cfos
304,"Medial mammillary nucleus, dorsal part",negative,4,BRAC5872.1f,cfos
305,"Medial mammillary nucleus, dorsal part",positive,165,BRAC5872.1f,cfos
